algorithm,seed,environment_steps,actor_loss,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,agent3/mean_episode_returns,agent3/std_episode_returns,entropy,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates,value_loss
ia2c,1,14000000,-0.0027703524101525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333339989185333,2.5315732955932617,500.0,0.0,2.197678851499586,0.0,0.0,0.0002941446191533,2800,5.068687438964844
ia2c,1,14500000,0.0027779815718531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3255292475223541,2.2279491424560547,500.0,0.0,1.8053047487992444,0.0,0.0,0.0002864218178479,2900,4.450342178344727
ia2c,1,15000000,-0.0422348156571388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3663613796234131,2.3098084926605225,500.0,0.0,2.6561773803990945,0.0,0.0,0.0004077487027862,3000,4.704086780548096
ia2c,1,15500000,-0.0319026671350002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4471446275711059,2.184778928756714,500.0,0.0,2.049129815299966,0.0,0.0,0.0008946940013404,3100,4.43336296081543
ia2c,1,16000000,0.011111999861896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4785784780979156,1.9571906328201292,500.0,0.0,2.0300820051004846,0.0,0.0,0.0006008066395922,3200,3.8921573162078857
ia2c,1,16500000,0.0163151770830154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9070515632629396,2.2087740898132324,500.0,0.0,1.861960722100048,0.0,0.0,0.0003856319513036,3300,4.384917736053467
ia2c,1,17000000,-0.0539108999073505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1944069862365725,1.5737870931625366,500.0,0.0,1.95218729799999,0.0,0.0,0.0003728860198293,3400,3.2553958892822266
ia2c,1,17500000,0.1385623216629028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0411278009414673,1.0792242288589478,500.0,0.0,1.9712503107995871,0.0,0.0,0.0003848703419203,3500,1.8813238143920896
ia2c,1,18000000,-0.0178701058030128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.125104546546936,1.2867549657821655,500.0,0.0,2.0350835031997123,0.0,0.0,0.0003152879600025,3600,2.609250068664551
ia2c,1,18500000,-0.0564228445291519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1617324352264404,1.1232250928878784,500.0,0.0,1.8721319398002376,0.0,0.0,0.000257842371641,3700,2.3592958450317383
ia2c,1,19000000,-0.3758944272994995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.337953805923462,0.5094033479690552,500.0,0.0,1.870943724199242,0.0,0.0,0.0002175187597855,3800,1.7705955505371094
ia2c,1,19500000,-0.0457676313817501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1379024982452393,0.7328349351882935,500.0,0.0,1.882541233899974,0.0,0.0,0.000210576317874,3900,1.557205080986023
ia2c,1,20000000,-0.0762736052274704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3316670656204224,0.4303113222122192,500.0,0.0,1.9426060491005048,0.0,0.0,0.000178557924908,4000,1.0131698846817017
ia2c,2,500000,-0.2106368690729141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.694127559661865,-0.1909972429275512,500.0,0.0,1.955636475502979,0.0,0.0,0.0001160313781436,100,0.0392792373895645
ia2c,2,1000000,-0.4002920687198639,0.0,0.0,0.3,0.45825756,0.0,0.0,0.0,0.0,3.8045945167541504,13.240851402282717,500.0,0.3,2.1803773997016838,0.0,0.45825756,0.0001838335608558,200,27.28228759765625
ia2c,2,1500000,-0.1136434599757194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4908771514892578,-0.09028971940279,500.0,0.0,8.439935102099843,0.0,0.0,0.0016676755459256,300,0.046707484871149
ia2c,2,2000000,-0.0771608129143714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7626081705093384,-0.0519401207566261,500.0,0.0,2.4995343826012686,0.0,0.0,0.0002569660999973,400,0.0504413843154907
ia2c,2,2500000,0.0426810607314109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2696428298950195,0.0523651540279388,500.0,0.0,2.456247341595008,0.0,0.0,0.0001989939824044,500,0.0193681865930557
ia2c,2,3000000,0.1485643088817596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5525147914886477,0.1762998849153518,500.0,0.0,7.612395122900489,0.0,0.0,0.0007553746002482,600,0.055471159517765
ia2c,2,3500000,-0.074901632964611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5359129905700684,-0.0424112267792224,500.0,0.0,2.0768771265022226,0.0,0.0,0.0002581723551038,700,0.0649808123707771
ia2c,2,4000000,0.0142663223668932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.024869680404663,0.0478734672069549,500.0,0.0,2.2259203913010426,0.0,0.0,0.0003570244009356,800,0.0672142878174781
ia2c,2,4500000,0.0770536959171295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8164162635803223,0.1112709119915962,500.0,0.0,2.2150628280011007,0.0,0.0,0.0006250237534226,900,0.0684344321489334
ia2c,2,5000000,0.1096769422292709,0.1,0.29999998,0.0,0.0,0.1,0.29999998,0.1,0.29999998,2.219345569610596,26.556198120117188,500.0,0.3,1.983722052098892,0.0,0.64031243,0.0003199780560769,1000,52.893043518066406
ia2c,2,5500000,0.2913793921470642,0.5,0.67082036,0.2,0.4,0.2,0.4,0.3,0.45825756,2.5148019790649414,64.94084167480469,500.0,1.2,2.393249100400135,0.0,1.3266499,0.0002721596128446,1100,129.29891967773438
ia2c,2,6000000,0.3106997013092041,0.3,0.45825756,0.0,0.0,0.6,0.48989797,0.2,0.4,2.0310373306274414,34.09259796142578,500.0,1.1,2.634848921901721,0.0,0.53851646,0.0005564597265327,1200,67.56379699707031
ia2c,2,6500000,-0.7581618428230286,0.4,0.663325,0.4,0.48989797,0.3,0.45825756,0.7,0.45825756,1.8613862991333008,31.33418083190918,500.0,1.8,2.190327178299776,0.0,0.87177974,0.0002480146495483,1300,64.18468475341797
ia2c,2,7000000,-0.0056490423157811,0.6,0.66332495,0.4,0.48989797,0.7,0.45825756,0.7,0.6403124,2.061867475509644,24.369855880737305,500.0,2.4,2.168431212796713,0.0,1.7435595,0.0002739140597904,1400,48.75101089477539
ia2c,2,7500000,-0.2339897453784942,0.8,0.4,0.6,0.66332495,1.0,0.4472136,0.5,0.67082036,2.032909393310547,21.71943473815918,500.0,2.9,1.957676108299347,0.0,1.3,0.0002954543267861,1500,43.9068489074707
ia2c,2,8000000,-0.2357402145862579,0.9,0.83066237,1.1,0.8306624,1.0,0.6324555,1.0,0.7745967,1.929834008216858,24.246950149536133,500.0,4.0,2.3974934652011144,0.0,2.1908903,0.0003009222895319,1600,48.96538162231445
ia2c,2,8500000,-0.5510801672935486,2.0,0.6324555,1.9,0.70000005,1.2,0.4,1.3,0.64031243,1.4481171369552612,29.94057846069336,500.0,6.4,1.9569524538019325,0.0,1.1999999,0.0002928019052419,1700,60.98331832885742
