environment_steps,actor_loss,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,entropy,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates,value_loss
130000,-0.7165937423706055,0.083333336,0.12909946,0.033333335,0.1,0.0,0.0,4.0183868408203125,0.6503745317459106,50.0,0.116666675,0.2041691445000197,0.0,0.14529663,5.932463924679535e-05,260,2.733936548233032
140000,-0.8843542337417603,0.058333337,0.11814539,0.0,0.0,0.02,0.06,3.540123462677002,0.7602150440216064,50.0,0.07833333,0.2127116243000728,0.0,0.123389624,0.0001015374454602,280,3.2891385555267334
150000,-0.5156589150428772,0.083333336,0.12909944,0.041666668,0.08539126,0.025,0.074999996,3.039595365524292,2.2070119380950928,50.0,0.15,0.2126519963001101,0.0,0.16583124,8.716537676711139e-05,300,5.44534158706665
160000,0.0167835336178541,0.15833333,0.30379543,0.033333335,0.1,0.120000005,0.21249837,3.378539562225342,9.295334815979004,43.4,0.31166667,0.1793745242001023,13.566134305689296,0.36788058,0.0571868836509509,320,18.55710220336914
170000,0.6268172860145569,0.05,0.14999999,0.116666675,0.2362908,0.23333335,0.3265986,3.747696876525879,14.066448211669922,39.0,0.4,0.1599869040001067,14.696938456699067,0.489898,0.0605685420099669,340,26.879261016845703
180000,0.2909923791885376,0.18857142,0.20640756,0.06857143,0.13950351,0.089999996,0.18138357,3.670116186141968,10.967138290405272,47.5,0.34714285,0.1923411318999569,5.239274758971894,0.36988968,0.0219996022613403,360,21.35229110717773
190000,0.3398206532001495,0.120000005,0.2993326,0.02,0.06,0.044999998,0.09069178,3.3205604553222656,5.595253944396973,49.8,0.18500002,0.2014113466999333,0.6,0.28987068,0.0027641066953621,380,10.510866165161133
200000,-0.0918022617697715,0.1,0.21343747,0.05,0.106718734,0.075,0.16007811,3.614805459976196,6.884705066680908,48.6,0.225,0.2151694692000091,4.2,0.3074311,0.0194082500026453,400,13.953014373779297
210000,0.8708921670913696,0.111666664,0.15986973,0.15,0.16996732,0.14833334,0.19067861,3.7964115142822266,10.229394912719728,47.3,0.41000003,0.1974582279000969,6.356886030125128,0.34538224,0.026209395756165,420,18.717004776000977
220000,1.4633853435516355,0.15854979,0.22217141,0.12445888,0.1744742,0.36471862,0.32855543,3.48779296875,17.7645206451416,39.63636363636363,0.64772725,0.1651396254545613,14.88301489051882,0.35010028,0.0628229717804428,440,32.602272033691406
230000,1.1227781772613523,0.1,0.24083188,0.27333337,0.20319667,0.20333333,0.2557994,3.876976728439331,16.948150634765625,38.2,0.5766667,0.1771312533999662,15.15783625719713,0.3669847,0.0713517692994621,460,31.650745391845703
240000,-0.1556745320558548,0.13,0.26851445,0.091666676,0.14166668,0.14833334,0.16839933,3.4948108196258545,6.724560737609863,44.0,0.37000003,0.1786754793999989,12.96919426949878,0.3541657,0.0524414727805934,480,13.760470390319824
250000,0.0483622327446937,0.20833334,0.19094066,0.1,0.2,0.029166669,0.059072696,3.644740104675293,7.503612041473389,43.7,0.33750004,0.180374338699994,13.160927019021116,0.35573182,0.0538379474079609,500,14.910499572753906
260000,-0.6690111756324768,0.111666664,0.14143118,0.175,0.23702438,0.05,0.106718734,3.4708218574523926,5.7950639724731445,46.1,0.33666667,0.1927081404999626,7.828793010419933,0.36184707,0.031977136818918,520,12.928150177001951
270000,-0.2892998456954956,0.042857148,0.09147321,0.15595238,0.13175619,0.02857143,0.057142865,3.5655691623687744,2.9572863578796387,50.0,0.22738095,0.2131456845999309,0.0,0.16957079,0.0001287724782933,540,6.493172645568848
280000,-0.8820077180862427,0.11212122,0.18655448,0.06363636,0.14937888,0.06666667,0.123091504,3.6080479621887207,2.4699950218200684,43.36363636363637,0.24242425,0.1877199283636318,14.208017757415751,0.38509893,0.0619698267958925,560,6.704005718231201
290000,0.859749436378479,0.20021647,0.32300073,0.19718614,0.29912058,0.18181819,0.20858526,3.682645320892334,15.645318031311035,36.54545454545455,0.5792208,0.1543601543636131,16.483400114625713,0.42169213,0.0691330229734718,580,29.57113647460937
300000,0.4455471634864807,0.0888889,0.13877775,0.2563492,0.2929378,0.06666667,0.13333336,3.772806882858277,9.44875717163086,41.5,0.41190475,0.1715054215000691,13.477759457714033,0.4026274,0.0558429047215736,600,18.006420135498047
310000,-1.4535794258117676,0.14393939,0.20129289,0.045454547,0.1437399,0.15454546,0.30559522,3.2182867527008057,3.476731777191162,41.45454545454545,0.3439394,0.1858512525454485,16.450275689116395,0.41695583,0.074144494735212,620,9.86062240600586
320000,-0.2381400763988495,0.17803031,0.26596195,0.094696976,0.21028699,0.14999999,0.2196186,3.1744134426116943,9.725870132446287,39.36363636363637,0.4227273,0.1667715250000583,14.208017757415751,0.45295173,0.0597980405444573,640,19.92802047729492
330000,1.712340235710144,0.39163062,0.27422073,0.1497114,0.14096156,0.20541126,0.23417571,3.486244201660156,21.52483558654785,33.36363636363637,0.7467533,0.1352655086363731,15.310559204042676,0.28623918,0.0628416350906201,660,39.62499237060547
340000,0.8818382620811462,0.26726192,0.28849378,0.11363637,0.28927097,0.14669913,0.16024087,3.440500497817993,9.102059364318848,39.63636363636363,0.5275974,0.1701070823636738,15.173378165678123,0.45350647,0.0652107181605494,680,16.44044303894043
350000,-0.6918978095054626,0.1590909,0.25239897,0.2121212,0.2690322,0.11666667,0.16892411,3.76931357383728,8.37265396118164,37.09090909090909,0.48787877,0.1611162779091004,16.746530416529136,0.47189125,0.073195072544699,700,18.12910270690918
360000,0.9266492128372192,0.17390111,0.1483399,0.2752137,0.25415462,0.19081196,0.20053758,3.3283753395080566,9.243638038635254,32.15384615384615,0.6399267,0.1354453535384961,17.706348943229607,0.39149573,0.0747561003122102,720,16.63397789001465
370000,-0.0749291628599166,0.15666667,0.27610385,0.10761905,0.13989307,0.10666667,0.22150998,3.3227717876434326,5.202949047088623,41.2,0.37095237,0.1773629279999113,13.51147660324363,0.4280338,0.057596899316864,740,10.555756568908691
380000,-0.3797487318515777,0.16375001,0.2948755,0.16279761,0.122027375,0.07619048,0.15126076,3.250260591506958,5.417646408081055,43.1,0.4027381,0.1794493229999716,13.801811475310044,0.32063308,0.0584750991091234,760,11.5947904586792
390000,0.3996870219707489,0.28402779,0.25977328,0.37291667,0.2792418,0.16329364,0.19380148,3.434468030929565,15.94965934753418,28.25,0.8202381,0.1197617085000122,14.318548576351352,0.32105577,0.0607673195433737,780,31.09994506835937
400000,-0.5153546333312988,0.07666667,0.13,0.14166668,0.15798207,0.19500002,0.22410934,3.2363440990448,5.596018314361572,41.5,0.41333336,0.1749591255999803,13.260844618650804,0.39530578,0.0561760620947869,800,12.222745895385742
410000,2.776805877685547,0.3442262,0.20703714,0.33136907,0.2872057,0.2529762,0.20574188,3.2699341773986816,23.63773727416992,28.0,0.9285714,0.1227487989999644,12.976902558006667,0.2142857,0.0560184827536511,820,41.72186279296875
420000,0.2998036742210388,0.21583335,0.24822845,0.16666667,0.22047928,0.17083333,0.14659326,3.3134219646453857,7.827173709869385,37.5,0.55333334,0.1622217211000133,13.654669530969985,0.45709226,0.0612519301590237,840,15.054739952087402
430000,-0.8131396770477295,0.23194446,0.23032059,0.12688492,0.1628681,0.20267859,0.20628522,3.2284960746765137,5.668788909912109,33.57142857142857,0.56150794,0.1519807789286135,18.86688060261869,0.45306358,0.0865114808589181,860,12.963857650756836
440000,0.3608668744564056,0.30982906,0.3306168,0.14871795,0.16569737,0.2811966,0.36094695,3.2637720108032227,11.903932571411133,34.30769230769231,0.7397436,0.1584304604615891,15.050604973195316,0.39383814,0.0683256534523244,880,23.086132049560547
450000,-0.8534082174301147,0.16857143,0.30943003,0.11952381,0.1862684,0.030952383,0.062133282,3.011056423187256,3.4322757720947266,43.9,0.31904763,0.1842249047999757,12.541531007018245,0.38217068,0.051652876848124,900,8.571368217468262
460000,0.7028996348381042,0.33075395,0.24841802,0.24761908,0.14149816,0.17361112,0.22021227,3.092397451400757,8.81382942199707,36.75,0.7519842,0.1569209520833207,14.172302800415558,0.36621523,0.0609894663211419,920,16.221858978271484
470000,0.4004647135734558,0.3088384,0.22757697,0.2626263,0.22193277,0.24469699,0.23672515,3.288186550140381,13.379135131835938,31.181818181818183,0.8161616,0.1347816417272208,15.83906667256159,0.30470917,0.0674871976792099,940,25.95734024047852
480000,0.5569779872894287,0.3736111,0.3185222,0.21154101,0.16653162,0.19818121,0.22713083,3.019258975982666,12.343981742858888,31.0,0.7833333,0.1341190708333594,14.685593847940458,0.37822685,0.0647813646293133,960,23.57400703430176
490000,0.3905178308486938,0.30380952,0.32432592,0.26333335,0.32147658,0.14952382,0.21751224,3.074887752532959,12.461271286010742,33.9,0.7166667,0.158020155999975,15.623379916010492,0.37441564,0.0750119489076006,980,24.14150619506836
500000,0.1125078797340393,0.26006496,0.18207768,0.13282828,0.13677081,0.22117606,0.18722133,2.5347530841827397,9.245097160339355,39.18181818181818,0.6140693,0.1676924768182123,15.284086684690193,0.33197072,0.0671611414086058,1000,18.26517868041992
510000,-0.4564107358455658,0.27236775,0.19995207,0.31640214,0.22110555,0.20064817,0.19936557,3.188307285308838,10.44785213470459,29.133333333333333,0.789418,0.1263653833999342,16.08256474847494,0.3690134,0.0709662026630573,1020,21.80852508544922
520000,0.7336772680282593,0.34568453,0.24773094,0.29623017,0.24302754,0.2062996,0.21821418,2.84775972366333,14.088944435119627,25.375,0.84821427,0.116905699437467,14.628204777073638,0.33680958,0.0679945848436249,1040,26.71053504943848
530000,0.3143096566200256,0.2064963,0.22365288,0.34413365,0.33407307,0.29092854,0.27272296,3.1149442195892334,11.547547340393066,25.53846153846154,0.8415584,0.1103008380000224,15.269957355314917,0.29370004,0.0664085491371007,1060,22.46647453308105
540000,0.3214696943759918,0.34166667,0.36161292,0.15694444,0.15492804,0.24097222,0.262455,3.0709424018859863,10.908995628356934,29.5,0.7395833,0.1308583655000272,17.318102282486574,0.39017338,0.0801550566891917,1080,21.175052642822266
550000,-0.7009109258651733,0.23675214,0.20359468,0.17756413,0.20416036,0.2715812,0.23843168,2.9201202392578125,7.919203281402588,34.30769230769231,0.68589747,0.1456475302307948,15.379229826593122,0.41364783,0.0656613284149422,1100,17.2402286529541
560000,-0.5151098370552063,0.2129762,0.22775142,0.31496033,0.24158338,0.17444445,0.21005951,2.8737521171569824,6.332936763763428,33.166666666666664,0.70238096,0.142207951583335,15.915575878853884,0.4343199,0.0696642721571625,1120,13.696093559265137
570000,-0.361054927110672,0.2892308,0.18932699,0.27076924,0.19510311,0.25043958,0.1652648,2.754495143890381,9.266186714172363,27.07692307692308,0.8104395,0.1192075011538411,15.671932473553518,0.35143363,0.0698476885076623,1140,19.254484176635746
580000,0.4846149384975433,0.2747475,0.21488342,0.21262628,0.1850788,0.3166667,0.2527625,2.881432294845581,12.034673690795898,24.818181818181817,0.8040404,0.10455128981816,18.33931783116255,0.33659256,0.0771709650095244,1160,23.100116729736328
590000,-0.7127045392990112,0.31742427,0.2179002,0.13257577,0.16743967,0.25000003,0.23398179,2.660399913787842,8.884076118469238,32.45454545454545,0.7,0.1516305139091193,16.4502756891164,0.4017009,0.0766519950626348,1180,19.19356155395508
600460,-1.0364537239074707,0.274359,0.24906796,0.14786325,0.18190376,0.3854701,0.31294137,2.754028797149658,14.4971923828125,24.153846153846157,0.8076923,0.103806786000055,16.33234711026488,0.3689101,0.069083478882243,1201,31.067293167114254
