entropy_coef,environment_steps,actor_loss,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,entropy,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates,value_loss
0.01,600000,-0.0307937134057283,0.22304894,0.18839195,0.34322092,0.28754216,0.18055557,0.23773947,2.854604959487915,11.064870834350586,31.666666666666668,0.7468254,0.1318856950833833,15.260697523012796,0.36988813,0.0647824974696952,1200,22.191329956054688
0.01,610000,0.8009644150733948,0.2940837,0.2253888,0.2047619,0.15063938,0.21284272,0.21674603,2.9363698959350586,8.72661018371582,32.72727272727273,0.7116883,0.137313173545408,17.0405447474327,0.39221638,0.0718018197426987,1220,15.85129165649414
0.01,620000,-1.5532333850860596,0.11212122,0.1659212,0.119696975,0.19756322,0.17424242,0.23477516,2.691981077194214,3.4362094402313232,42.27272727272727,0.4060606,0.1749434842727582,14.181235419261924,0.39358962,0.0588784517470824,1240,9.978885650634766
0.01,630000,0.0905807986855506,0.19029583,0.15869512,0.2560606,0.24123763,0.21976914,0.22718145,2.929826259613037,7.695301055908203,38.36363636363637,0.66612554,0.1592092438182093,15.268938924095826,0.3770127,0.0638921675887695,1260,15.209440231323242
0.01,640000,0.1581145823001861,0.2848545,0.21549179,0.39735448,0.31113565,0.05687831,0.13397714,2.5890581607818604,8.21098518371582,31.416666666666668,0.7390873,0.1438889369167858,15.190228950070356,0.37641326,0.0676957415413974,1280,16.105741500854492
0.01,650000,0.0754525288939476,0.3003307,0.21568534,0.24011244,0.17332017,0.14093915,0.1373698,2.6562705039978027,7.068114280700684,34.916666666666664,0.68138224,0.1546863564999512,18.38232091500478,0.33962247,0.0789211297599228,1300,13.985323905944824
0.01,660000,-0.8565605282783508,0.24069263,0.35258195,0.26277056,0.2750148,0.16320348,0.19621329,3.0021567344665527,7.787062644958496,35.81818181818182,0.6666667,0.1558333473636924,13.25839824288523,0.4494666,0.0565706873963114,1320,17.287246704101562
0.01,670000,0.3230352699756622,0.31885526,0.21003896,0.29309765,0.26706162,0.1456229,0.20884582,2.8732354640960693,10.94182014465332,28.545454545454547,0.75757575,0.1200665032728548,15.179912781900814,0.40429285,0.0632906546421638,1340,21.23756980895996
0.01,680000,0.2672365009784698,0.36435577,0.2792823,0.31351542,0.2943725,0.22654063,0.27016383,2.5728752613067627,12.559194564819336,20.823529411764707,0.9044118,0.0891133474705223,14.781686977344425,0.26956326,0.0638285714990771,1360,24.58391571044922
0.01,690000,0.4958827495574951,0.29394844,0.21012577,0.35704365,0.25809023,0.08472222,0.13042991,2.638754367828369,7.854230880737305,34.166666666666664,0.73571426,0.1560366896667346,15.736546282106785,0.39246732,0.0718961680172247,1380,14.716696739196776
0.01,700000,0.5324757695198059,0.28418368,0.25495195,0.22006802,0.25401974,0.23171769,0.27796012,2.622500419616699,7.134593486785889,30.142857142857142,0.7359694,0.123515181714343,16.282581152249538,0.37713066,0.0674983538367557,1400,13.204235076904297
0.01,710000,-0.5723820924758911,0.35650185,0.30924988,0.24679488,0.26976445,0.16300367,0.23344286,2.3167409896850586,11.11284637451172,25.615384615384617,0.7663003,0.105547508615298,17.291787564036383,0.36172378,0.071667224945862,1420,23.37045669555664
0.01,720000,0.2713376581668854,0.2396164,0.2211692,0.24034391,0.23214541,0.16686507,0.21879399,2.405970573425293,6.666717529296875,36.66666666666666,0.6468254,0.1523286092498589,13.474255287605155,0.4353339,0.0568389724758069,1440,12.790760040283203
0.01,730000,-0.4379621744155884,0.15833333,0.1934861,0.2939394,0.3180014,0.12954545,0.1799047,2.8295483589172363,5.391698837280273,34.18181818181818,0.58181816,0.1389464920909052,16.612252771636975,0.47062472,0.0679253795336903,1460,11.659321784973145
0.01,740000,0.2874922752380371,0.32675928,0.24525979,0.31,0.22713369,0.15027778,0.17762096,2.5080487728118896,10.526796340942385,24.75,0.7870371,0.1082966155000425,15.674421839417237,0.3834496,0.0704645818258546,1480,20.47860717773437
0.01,750000,-0.0962927266955375,0.23583336,0.25614804,0.2702381,0.23320514,0.06357143,0.1066393,2.034763097763061,5.8617095947265625,39.1,0.56964284,0.1618388865998895,16.777663722938303,0.39175576,0.0697482136719483,1500,11.916004180908203
0.01,760000,-0.1302689462900161,0.1797619,0.15654732,0.14404763,0.18943235,0.18528138,0.17624551,2.5935418605804443,4.106503963470459,41.72727272727273,0.5090909,0.1788344235455125,13.464369877508087,0.40999898,0.0576651094389981,1520,8.473546028137207
0.01,770000,0.1821807920932769,0.2625,0.27552557,0.33583334,0.2287638,0.2318254,0.18752801,2.3095908164978027,9.763240814208984,23.466666666666665,0.83015877,0.1038750084666389,14.628131193772576,0.34370118,0.0662354375249915,1540,19.1621208190918
0.01,780000,0.9856500029563904,0.2936508,0.20348749,0.42492065,0.19689554,0.21476193,0.17591184,2.5960452556610107,12.880226135253906,23.6,0.93333334,0.0997396051331937,11.785867242874692,0.24944381,0.0505491816920111,1560,23.789152145385746
0.01,790000,0.4342434108257293,0.3122711,0.29910305,0.32820514,0.19159436,0.25402933,0.20933513,2.271637201309204,11.436043739318848,25.384615384615383,0.8945055,0.1087017723845677,16.07453055440123,0.2514347,0.0691357478075155,1580,22.00360107421875
0.01,800000,-0.4277016222476959,0.16419414,0.19265379,0.26785713,0.23181084,0.21630035,0.1669721,2.4991955757141118,5.772157669067383,30.384615384615383,0.64835167,0.1360582700000612,16.68964884885913,0.45733303,0.0737498146198281,1600,12.399718284606934
0.01,810000,-0.2834433317184448,0.31396824,0.23477185,0.2657143,0.24815086,0.23936509,0.21522696,2.506687879562378,6.595353126525879,27.133333333333333,0.81904763,0.1148639559332878,15.560062839061915,0.36688304,0.0664580119604974,1620,13.757593154907228
0.01,820000,-0.6464097499847412,0.17380953,0.1576373,0.2199134,0.19557904,0.2664502,0.2217099,2.3727638721466064,5.48818302154541,34.72727272727273,0.6601732,0.1443032089089022,17.099127617783786,0.39893836,0.0717342033079112,1640,12.26918601989746
0.01,830000,0.5573375821113586,0.34583333,0.23984225,0.38150793,0.21943249,0.22408728,0.18245085,2.501392126083374,8.622057914733887,21.5,0.9514286,0.0921026299499772,14.637281168304447,0.14821385,0.0629676109193861,1660,16.129440307617188
0.01,840000,-0.9636684656143188,0.19958335,0.2040154,0.30361113,0.2786125,0.17180556,0.15543765,2.333335399627685,7.168220043182373,34.333333333333336,0.675,0.1420089767499727,16.13656992327951,0.4064583,0.0677468944329433,1680,16.263776779174805
0.01,850000,-0.7403759956359863,0.1400463,0.17754419,0.23445769,0.24947171,0.26041666,0.23454855,2.6000897884368896,5.664091110229492,32.333333333333336,0.63492066,0.1403440727502432,18.144481867009105,0.44302496,0.0780802171584228,1700,12.808934211730955
0.01,860000,-0.3836152553558349,0.32425213,0.19500424,0.2604701,0.18595049,0.20566241,0.16328338,2.3495938777923584,5.69725513458252,31.923076923076923,0.7903846,0.1300867353076263,15.997411033142631,0.33159557,0.0656110172450566,1720,12.161741256713867
0.01,870000,-0.3318374454975128,0.22152777,0.20723206,0.34672618,0.2637279,0.032738093,0.07640177,2.334472894668579,3.067946672439575,34.416666666666664,0.600992,0.1437757917500827,16.70557957357029,0.41462705,0.069715882657388,1740,6.799568176269531
0.01,880000,0.166619136929512,0.48197284,0.25554544,0.20612243,0.24754989,0.23537414,0.23227383,2.384191036224365,10.995427131652832,24.0,0.9234694,0.1009326621427655,15.905973720586866,0.18794632,0.0673287143725646,1760,21.657615661621094
0.01,890000,0.1533261388540268,0.2604167,0.23420288,0.20208335,0.24865672,0.16250001,0.2040249,2.126574754714966,6.048409938812256,32.416666666666664,0.625,0.1398932605000785,17.932551098181456,0.4621057,0.0782719101978591,1780,11.790167808532717
0.01,900000,-0.5037722587585449,0.40370372,0.27431172,0.2915344,0.25883645,0.14889771,0.19356968,2.3187496662139893,9.322071075439451,23.83333333333333,0.8441358,0.1039765146111777,14.837078178970712,0.30585548,0.0654072275983803,1800,19.65168571472168
0.01,910400,-0.9605957865715028,0.24747476,0.23147848,0.2439394,0.19335851,0.1358586,0.16594733,2.211747884750366,5.566769599914551,35.63636363636363,0.62727267,0.1471079152729131,14.085922871452048,0.41306153,0.0601184665342477,1821,13.054730415344238
